Juego;Sesion;id_usuario;num_periodo;id_tipo;id_grupo;punto_ideal;se_postula;num_votos; num_votos2;balance_ini;balance
A;1;17;3;R;207;70;1;50;0;158;149
A;1;17;4;R;209;70;1;40;0;149;142
A;1;17;5;R;221;70;1;41;0;142;133
A;1;17;6;R;226;50;0;0;0;133;131
A;1;17;7;R;235;50;0;0;0;131;129
A;1;17;8;R;241;50;0;0;0;129;127
A;1;17;9;R;246;50;0;0;0;127;125
A;1;17;10;R;253;50;0;0;0;125;123
A;1;17;11;R;259;70;1;41;0;123;143
A;1;17;12;R;265;50;0;0;0;143;141
A;1;17;13;R;276;50;0;0;0;141;139
A;1;17;14;R;283;70;1;51;0;139;159
A;1;17;15;R;289;70;1;41;0;159;152
A;1;17;16;R;294;50;0;0;0;152;150
A;1;17;17;R;302;80;1;45;0;150;140
A;1;17;18;R;309;50;0;0;0;140;138
A;1;17;19;R;317;50;0;0;0;138;136
A;1;17;20;R;326;30;1;41;0;136;156
A;1;17;21;R;331;80;1;36;0;156;146
A;1;17;22;R;338;30;1;55;0;146;166
A;1;17;23;R;342;50;0;0;0;166;126
A;1;17;24;R;351;30;1;41;0;126;119
A;1;17;25;R;358;50;1;25;0;119;112
A;1;17;26;R;363;80;1;36;0;112;102
A;1;17;27;R;372;30;1;101;0;102;122
A;1;17;28;R;377;80;0;0;0;122;119
A;1;17;29;R;389;50;1;24;0;119;112
A;1;17;30;R;396;30;1;41;0;112;105
A;1;18;1;P;170;50;0;0;0;140;138
A;1;18;2;P;179;30;1;51;0;138;158
A;1;18;3;P;183;50;0;0;0;158;156
A;1;18;1;R;190;50;0;0;0;140;138
A;1;18;2;R;198;30;1;51;0;138;158
A;1;18;3;R;205;70;1;41;0;158;178
